-1.844,-0.15067,-0.19886,-0.22283,-0.22878,-0.27597,0.19967,-0.64668,-0.77397,-0.24689,-0.18984,-0.17683,0.46083,0.89712,-0.0021659,-0.000167,1
-0.45526,-1.0592,-0.10561,-0.46618,0.51134,-0.67072,0.3442,0.10062,-0.81588,-0.51446,-0.13479,-0.47608,-0.91378,0.67401,0.005046,0.00054473,1
4.7048,3.0436,1.6653,-0.5299,-0.20756,1.1274,3.0713,-0.50953,-3.308,-0.10901,0.46017,0.19889,0.75583,0.3401,-0.027859,-0.0019267,3
-0.90994,0.30407,-1.8221,0.76479,0.36755,0.19195,-0.13211,-0.32067,0.50043,2.8177,-4.406,3.6836,-0.59077,0.93246,-0.020196,0.014507,1
-0.34273,-0.80038,-1.0744,-0.46208,0.72433,0.49844,0.13213,0.16709,0.10513,2.1457,-2.9335,3.4855,-1.1133,0.95421,-0.0184,-0.0012931,1
-0.008185,0.92952,-2.0812,0.72372,0.25882,-0.10417,0.86107,1.1396,1.4856,3.4478,-0.81786,3.8347,-0.063365,1.1474,-0.0068714,-0.0029927,1
-0.19526,0.80203,-0.87125,0.34098,0.013198,-0.041173,0.109,0.78838,0.086068,0.93629,-0.18965,3.0051,-0.54785,1.2014,-0.014873,-0.0017438,1
0.23408,0.78006,-0.90643,0.52582,0.1667,-0.061657,0.61624,0.89076,0.85522,1.2975,1.1996,3.0441,1.0823,0.62203,-0.015188,-0.0022959,1
-0.24899,0.1641,-0.94966,0.51375,0.33046,-0.27559,0.30414,0.40738,1.2139,2.1471,-0.69332,0.79831,-1.1044,0.6038,0.0027665,-0.0088172,1
-0.6746,-0.44287,0.085882,-0.35909,0.25525,0.16292,0.01905,0.25077,-0.8032,0.042078,-0.17973,1.2491,-0.92487,0.58382,-0.00025967,0.014976,1
0.32667,0.48287,-0.32449,0.1994,0.021549,0.1085,-0.087787,0.64295,0.5819,-0.30091,-0.3743,1.4526,-1.5685,0.45075,-0.0018241,-0.00082231,1
